title,Cant_Inscriptos,course_type,institution,Level,subject,language,Duracion_Curso,Precio
Molecular Biology - Part 2: Transcription and Transposition,"18,168",Self-paced on your time,Massachusetts Institute of Technology,Advanced,Biology & Life Sciences,English,7 Weeks,FREE-Add a Verified Certificate for $99 USD
"One Planet, One Ocean","12,166",Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,6 Weeks,FREE-Add a Verified Certificate for $49 USD
Reputation Management in a Digital World,"39,672",Self-paced on your time,Curtin University,Intermediate,Communication,English,6 Weeks,FREE-Add a Verified Certificate for $99 USD
Google Ads: publicidad efectiva,"12,084",Self-paced on your time,Universidad Galileo,Introductory,Business & Management,Español,5 Weeks,FREE-Add a Verified Certificate for $49 USD
Introducción a la energía solar fotovoltaica: El módulo fotovoltaico,"14,673",Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Engineering,Español,4 Weeks,FREE-Add a Verified Certificate for $50 USD
Computer Vision Fundamentals with Watson and OpenCV,"7,032",Self-paced on your time,IBM,Introductory,Computer Science,English,14 Weeks,FREE-Add a Verified Certificate for $99 USD
Japanese Business Management,"14,852",Self-paced on your time,Waseda University,Intermediate,Business & Management,English,4 Weeks,FREE-Add a Verified Certificate for $129 USD
Introduction to Cloud Computing,,Self-paced on your time,IBM,Introductory,Computer Science,English,6 Weeks,FREE-Add a Verified Certificate for $49 USD
Fundamentos de logística,"7,397",Self-paced on your time,LOGYCA,Introductory,Engineering,Español,5 Weeks,FREE-Add a Verified Certificate for $29 USD
Sustainable Urban Development,"45,760",Self-paced on your time,Delft University of Technology-Wageningen University & Research-Delft University & Wageningen University,Introductory,Social Sciences,English,7 Weeks,FREE-Add a Verified Certificate for $50 USD
Introduction to Biomedical Imaging,"56,485",Self-paced on your time,The University of Queensland,Introductory,Medicine,English,12 Weeks,FREE-Add a Verified Certificate for $99 USD
Introducción a la programación en Java: empezando a programar,"23,321",Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Computer Science,Español,5 Weeks,FREE-Add a Verified Certificate for $49 USD
"Circuits and Electronics 2: Amplification, Speed, and Delay","9,665",Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Electronics,English,5 Weeks,FREE-Add a Verified Certificate for $169 USD
China’s Political and Intellectual Foundations: From Sage Kings to Confucius,"47,083",Self-paced on your time,Harvard University,Introductory,History,English,15 Weeks,FREE-Add a Verified Certificate for $139 USD
Introduction to DevOps and Site Reliability Engineering,"8,697",Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,10 Weeks,FREE-Add a Verified Certificate for $149 USD
SQL aplicado en la  ciencia de datos,,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,4 Weeks,FREE-Add a Verified Certificate for $39 USD
Sign Language Science: Factors Contributing to Nature Structure,,Self-paced on your time,Georgetown University,Introductory,Language,English,4 Weeks,FREE-Add a Verified Certificate for $99 USD
Gender and Intersectionality,,Self-paced on your time,The University of Iceland,Introductory,Humanities,English,6 Weeks,FREE-Add a Verified Certificate for $50 USD
Digital Transformation in Business,"10,118",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Business & Management,English,7 Weeks,FREE-Add a Verified Certificate for $214 USD
Designing and Creating Trousers,"7,544",Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Design,English,5 Weeks,FREE-Add a Verified Certificate for $99 USD
Introducción a la teoría política: conceptos y grandes pensadores,"11,741",Self-paced on your time,Università degli Studi di Napoli Federico II,Introductory,Social Sciences,Español,7 Weeks,FREE-Add a Verified Certificate for $59 USD
"Human Rights, Human Wrongs: Challenging Poverty, Vulnerability and Social Exclusion","11,426",Self-paced on your time,SDG Academy,Intermediate,Social Sciences,English,11 Weeks,FREE-Add a Verified Certificate for $49 USD
Industry 4.0: How to Revolutionize your Business,"28,404",Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Business & Management,English,6 Weeks,FREE-Add a Verified Certificate for $50 USD
Desafíos y oportunidades en la economía digital,"47,792",Self-paced on your time,Inter-American Development Bank,Introductory,Economics & Finance,Español,10 Weeks,FREE-Add a Verified Certificate for $25 USD
Pensamiento crítico: toma de decisiones razonadas,"16,853",Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,4 Weeks,FREE-Add a Verified Certificate for $149 USD
"MathTrackX: Polynomials, Functions and Graphs",,Self-paced on your time,University of Adelaide,Introductory,Math,English,4 Weeks,FREE-Add a Verified Certificate for $79 USD
Sustainable Food Security: Crop Production,"35,367",Self-paced on your time,Wageningen University & Research,Intermediate,Biology & Life Sciences,English,6 Weeks,FREE-Add a Verified Certificate for $49 USD
Network and Security Foundations,"7,301",Self-paced on your time,Western Governors University,Introductory,Computer Science,English,8 Weeks,FREE-Add a Verified Certificate for $299.70 USD
Cannabis Cultivation and Processing,"7,419",Self-paced on your time,Doane University,Introductory,Environmental Studies,English,3 Weeks,FREE-Add a Verified Certificate for $179 USD
"Data, Models and Decisions in Business Analytics","36,289",Instructor-led on a course schedule,Columbia University,Advanced,Business & Management,English,12 Weeks,FREE-Add a Verified Certificate for $249 USD
Data Structures Fundamentals,"42,381",Self-paced on your time,"The University of California, San Diego",Intermediate,Computer Science,English,6 Weeks,FREE-Add a Verified Certificate for $99 USD
Shaping Work of the Future,"22,246",Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,8 Weeks,FREE-Add a Verified Certificate for $49 USD
Introducción a la robótica e industria 4.0,"7,056",Self-paced on your time,Universidades Anáhuac,Introductory,Computer Science,Español,3 Weeks,FREE-Add a Verified Certificate for $49 USD
Fighting for Equality: 1950–2018,"9,274",Self-paced on your time,Columbia University,Intermediate,History,English,10 Weeks,FREE-Add a Verified Certificate for $50 USD
"Design Thinking: Ideation, Iteration and Communication","14,629",Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,6 Weeks,FREE-Add a Verified Certificate for $299 USD
Negotiation Strategies and Styles,,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,4 Weeks,FREE-Add a Verified Certificate for $149 USD
Crear música con tecnología,"10,961",Self-paced on your time,Berklee College of Music,Introductory,Music,Español,6 Weeks,FREE-Add a Verified Certificate for $49 USD
Análisis de datos: Diseño y Visualización de Tableros,"18,368",Self-paced on your time,Delft University of Technology,Intermediate,Computer Science,Español,8 Weeks,FREE-Add a Verified Certificate for $49 USD
Comunicación estratégica: gestión de crisis e imagen pública,"7,017",Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Communication,Español,4 Weeks,FREE-Add a Verified Certificate for $49 USD
"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems","14,052",Self-paced on your time,University of Adelaide,Intermediate,Business & Management,English,4 Weeks,FREE-Add a Verified Certificate for $199 USD
Unlocking Information Security: Part II,"6,426",Self-paced on your time,IsraelX-Tel Aviv University,Intermediate,Computer Science,English,6 Weeks,FREE-Add a Verified Certificate for $149 USD
Human Rights Defenders,"27,338",Self-paced on your time,Amnesty International,Introductory,Social Sciences,English,4 Weeks,FREE-Add a Verified Certificate for $49 USD
Product Design: The Delft Design Approach,"87,539",Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,English,7 Weeks,FREE-Add a Verified Certificate for $79 USD
Introduction to Psychology | 心理学概论,"30,731",Self-paced on your time,Tsinghua University,Introductory,Philosophy & Ethics,中文,13 Weeks,FREE-Add a Verified Certificate for $139 USD
Circuits and Electronics 3: Applications,"9,347",Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Electronics,English,7 Weeks,FREE-Add a Verified Certificate for $169 USD
Vaccines: from smallpox to technologies of the future,"6,166",Self-paced on your time,KU Leuven University,Intermediate,Medicine,English,6 Weeks,FREE-Add a Verified Certificate for $49 USD
